Studio,City,Country,Latitude,Longitude
Shifty Eye,Calgary,Canada,51.0501123,-114.085289
Sperasoft,Yerevan,Armenia,40.1811111,44.5136108
Sperasoft,Warsaw,Poland,52.25,21
Mac Guff,Paris,France,48.85341,2.3487999
Sehsucht,Berlin,Germany,52.5166667,13.3999996
Sehsucht,Hamburg,Germany,53.55,10
Eyeline Studios,Toronto,Canada,43.7001138,-79.4163055
VOID Interactive,Dublin,Ireland,53.3330556,-6.248889
Wizards of the Coast,Toronto,Canada,43.7001138,-79.4163055
Petty Karma,Austin,United States,30.267153,-97.7430573
Bardel Entertainment,Kelowna,Canada,49.8830737,-119.485672
Bardel Entertainment,Vancouver,Canada,49.2496574,-123.119339
Unknown Studio (LinkedIn lead),Sydney,Australia,-33.86785,151.2073212
Ferin,Cape Town,South Africa,-33.9166667,18.416666
Submarine,Antwerp,Belgium,51.2166667,4.4166665
Royal Enfield,Chennai,India,13.0878385,80.2784729
Silex Films,Paris,France,48.85341,2.3487999
Madbox,Paris,France,48.85341,2.3487999
CBS Digital,New York City,United States,40.7142691,-74.0059738
Framestore,Mumbai,India,19.01441,72.8479385
Panache Digital Games,Montreal,Canada,45.5167792,-73.6491776
blubb.media,Stuttgart,Germany,48.7823243,9.1770172
BALLY WULFF Games & Entertainment,Berlin,Germany,52.5166667,13.3999996
DNEG,Montreal,Canada,45.5167792,-73.6491776
Amazon Game Studios,Montreal,Canada,45.5167792,-73.6491776
2K Sports Lab,Vancouver,Canada,49.2496574,-123.119339
Amber,Guadalajara,Mexico,20.6666667,-103.3333359
Riot Games,Sydney,Australia,-33.86785,151.2073212
Riot Games,Los Angeles,United States,34.0522342,-118.2436829
Tactic Studios,London,Canada,42.9833893,-81.2330399
Wargaming,Berlin,Germany,52.5166667,13.3999996
Zynga,Toronto,Canada,43.7001138,-79.4163055
Zynga,Austin,United States,30.267153,-97.7430573
Zynga,Chicago,United States,41.850033,-87.6500549
Zynga,San Francisco,United States,37.7749295,-122.4194183
People Can Fly,Montreal,Canada,45.5167792,-73.6491776
EA Studios,Vancouver,Canada,49.2496574,-123.119339
Epic Games,Boston,United States,42.3584308,-71.0597763
Crinimo Studio,Santiago,Chile,-33.45,-70.6666641
Snowed in Studios,Ottawa,Canada,45.4209405,-75.6902847
Starbreeze Studios,Stockholm,Sweden,59.3325765,18.0649033
JAM Media,Dublin,Ireland,53.3330556,-6.248889
Fatshark,Stockholm,Sweden,59.3325765,18.0649033
Rouge Mocap,Los Angeles,United States,34.0522342,-118.2436829
Heart Machine,Los Angeles,United States,34.0522342,-118.2436829
Midnight Society,San Francisco,United States,37.7749295,-122.4194183
BulletFarm,Los Angeles,United States,34.0522342,-118.2436829
KRAFTON,Montreal,Canada,45.5167792,-73.6491776
Quantum Studio,Los Angeles,United States,34.0522342,-118.2436829
Gameloft,Montreal,Canada,45.5167792,-73.6491776
EA SPORTS,Vancouver,Canada,49.2496574,-123.119339
Marvel Studios,New York City,United States,40.7142691,-74.0059738
Kingsize,Paris,France,48.85341,2.3487999
Sunrise Animation,Cape Town,South Africa,-33.9166667,18.416666
The Walt Disney Company,Vancouver,Canada,49.2496574,-123.119339
ILM - Sydney,Sydney,Australia,-33.86785,151.2073212
Invoke Studios,Montreal,Canada,45.5167792,-73.6491776
Ashborne Games,Brno,Czech Republic,49.1952227,16.6079597
Roarty Digital Inc,Vancouver,Canada,49.2496574,-123.119339
PhilmCGI,Pune,India,18.5195742,73.8553543
Mercury Steam Entertainment,Madrid,Spain,40.4165021,-3.7025642
Skydance Animation,Madrid,Spain,40.4165021,-3.7025642
Quantic Dream,Paris,France,48.85341,2.3487999
BackLight Studio,Paris,France,48.85341,2.3487999
Playdigious,Montpellier,France,43.6,3.8833332
yU+co,Los Angeles,United States,34.0522342,-118.2436829
PikPok,Wellington,New Zealand,-41.2785362,174.7766418
StaplesVR,Auckland,New Zealand,-36.8666667,174.7666626
Anshar Studios,Katowice,Poland,50.2666667,19.0166664
Starform,Seattle,United States,47.6062095,-122.3320694
University of North Carolina-Greensboro,Greensboro,United States,36.0726355,-79.7919769
Squeeze Studio Animation,Montreal,Canada,45.5167792,-73.6491776
Nimble Giant Entertainment,Buenos Aires,Argentina,-34.5761256,-58.4088135
Pixomondo,Montreal,Canada,45.5167792,-73.6491776
Pixomondo,Vancouver,Canada,49.2496574,-123.119339
Egg VFX,Dublin,Ireland,53.3330556,-6.248889
Submarine,Amsterdam,Netherlands,52.373084,4.8999023
Paradox Interactive,Stockholm,Sweden,59.3325765,18.0649033
