Studio,City,Country,Latitude,Longitude
Warner Bros. Television Australia,Sydney,Australia,-33.86785,151.2073212
Shiro Games,Bordeaux,France,44.8333333,-0.5666667
Remedy Entertainment,Stockholm,Sweden,59.3325765,18.0649033
Ubisoft,Lyon,France,45.75,4.8499999
Ubisoft,Montpellier,France,43.6,3.8833332
DON'T NOD Entertainment,Paris,France,48.85341,2.3487999
The New York Times,New York City,United States,40.7142691,-74.0059738
Producciones Mandarina,Madrid,Spain,40.4165021,-3.7025642
Lucasfilm Animation,San Francisco,United States,37.7749295,-122.4194183
Virtuos,Chengdu,China,30.6666667,104.0666656
Kojima Productions,Tokyo,Japan,35.6895266,139.6916809
Gameloft,Yogyakarta,Indonesia,-7.7827778,110.3608322
Brown Bag Films,Dublin,Ireland,53.3330556,-6.248889
Lightbox Animation Studios,Madrid,Spain,40.4165021,-3.7025642
Miraculous Corp,Paris,France,48.85341,2.3487999
GIANTS Software,Brno,Czech Republic,49.1952227,16.6079597
GIANTS Software,Erlangen,Germany,49.5897222,11.0038891
Starbreeze,Stockholm,Sweden,59.3325765,18.0649033
MagicLab,Warsaw,Poland,52.25,21
Important Looking Pirates,Hamburg,Germany,53.55,10
Important Looking Pirates,Stockholm,Sweden,59.3325765,18.0649033
DNEG,Sydney,Australia,-33.86785,151.2073212
Milk VFX,Bordeaux,France,44.8333333,-0.5666667
Milk VFX,Barcelona,Spain,41.3887869,2.1589851
Old Skull Games,Lyon,France,45.75,4.8499999
Cyber Group Studios,Paris,France,48.85341,2.3487999
Appeal Studios,Charleroi,Belgium,50.4166667,4.4333334
Balio Studio,Mons,Belgium,50.4541296,3.9522886
Chillchat,Bangkok,Thailand,13.75,100.5166702
Unknown Studio (LinkedIn lead),Los Angeles,United States,34.0522342,-118.2436829
Pure Imagination Studios,Los Angeles,United States,34.0522342,-118.2436829
Studio Hari,Paris,France,48.85341,2.3487999
Playgig,Rio de Janeiro,Brazil,-22.9027778,-43.2075005
Barnstorm Visual Effects,Montreal,Canada,45.5167792,-73.6491776
Dreamweave Media,Karachi,Pakistan,24.8666667,67.0500031
Scopely,Lisbon,Portugal,38.7166667,-9.1333332
VisKefi,Hyderabad,India,17.3752778,78.4744415
Ink and Light,Dublin,Ireland,53.3330556,-6.248889
EA Studios,Montreal,Canada,45.5167792,-73.6491776
EA Studios,Austin,United States,30.267153,-97.7430573
Respawn Entertainment,Vancouver,Canada,49.2496574,-123.119339
Respawn Entertainment,Los Angeles,United States,34.0522342,-118.2436829
Folks VFX,Mumbai,India,19.01441,72.8479385
PlaySide,Gold Coast,Australia,-28,153.4333344
TAT Productions,Toulouse,France,43.6042619,1.4436722
Games Enable,Lahore,Pakistan,31.5497222,74.3436127
WB Games,Montreal,Canada,45.5167792,-73.6491776
Little Moon Animation,Dublin,Ireland,53.3330556,-6.248889
Supercell,Shanghai,China,31.2222222,121.4580536
Gamepires,Zagreb,Croatia,45.8,16
Barnstorm Visual Effects,Vancouver,Canada,49.2496574,-123.119339
Midwinter Entertainment,Toronto,Canada,43.7001138,-79.4163055
Housemarque,Helsinki,Finland,60.1755556,24.934166
CD Projekt Red,Warsaw,Poland,52.25,21
Flying Wild Hog,Warsaw,Poland,52.25,21
The Molasses Flood,Boston,United States,42.3584308,-71.0597763
Glitch Productions,Sydney,Australia,-33.86785,151.2073212
Floating Rock Studio,Wellington,New Zealand,-41.2785362,174.7766418
880 Productions,Wellington,New Zealand,-41.2785362,174.7766418
Nasse Animation Studio,Taranto,Italy,40.4761111,17.229723
Unknown Worlds Entertainment,San Francisco,United States,37.7749295,-122.4194183
Kaidro LLC,Los Angeles,United States,34.0522342,-118.2436829
Sony Pictures Imageworks,Montreal,Canada,45.5167792,-73.6491776
Sony Pictures Imageworks,Vancouver,Canada,49.2496574,-123.119339
Mighty Koi,Warsaw,Poland,52.25,21
Luma Pictures,Vancouver,Canada,49.2496574,-123.119339
White Clap Studios,Mumbai,India,19.01441,72.8479385
Vertigo Games,Amsterdam,Netherlands,52.373084,4.8999023
Cliffhanger Games,Vancouver,Canada,49.2496574,-123.119339
Cliffhanger Games,Austin,United States,30.267153,-97.7430573
Cliffhanger Games,Orlando,United States,28.5383355,-81.3792343
Cliffhanger Games,Seattle,United States,47.6062095,-122.3320694
Theorycraft Games,Los Angeles,United States,34.0522342,-118.2436829
Wicked Workshop,Melbourne,Australia,-37.8139966,144.9633179
